,0
918,IDUA
919,AQP8
920,
921,SLC10A6
922,SLC35B2
923,ACSM2B
924,SLC6A18
925,NMNAT3
926,ACADM
927,APRT
928,AQP1
929,AQP2
930,ACADS
931,GLT6D1
932,AQP3
933,IMPA1
934,IMPA2
935,IMPDH1
936,IMPDH1
937,IMPDH2
938,AQP4
939,IDO1
940,INPP1
941,AQP5
942,INPP4A
943,INPP4A
944,INPP5A
945,INPP5B
946,INPP5D
947,INPPL1
948,AQP7
949,IREB2
950,AQP9
951,ACADSB
952,STT3A
953,ITPA
954,ITPA
955,ITPK1
956,ITPKA
957,ITPKB
958,IVD
959,NDUFS7
960,PTPRQ
961,ASPG
962,HSD11B1L
963,B3GNT8
964,B3GNT8
965,MIA3
966,SLC27A1
967,SLC27A1
968,KCNJ8
969,KCNJ11
970,CA13
971,ENTPD8
972,KHK
973,KHK
974,ACADVL
975,ARG1
976,ARG2
977,
978,SLC22A10
979,KMT5A
980,SLC9A4
981,ACAT1
982,LALBA
983,ACP7
984,LBR
985,LCAT
986,LCT
987,LDHA
988,LDHB
989,LDHC
990,LDHC
991,LIPA
992,LIPC
993,LIPE
994,FADS1
995,FADS3
996,ACAT2
997,HACD4
998,LOXL2
999,LPL
1000,LPO
1001,PLPP6
1002,LSS
1003,LTA4H
1004,CYP4F3
1005,LTC4S
1006,LTC4S
1007,ARSA
1008,ARSB
1009,ARSB
1010,MAN2B1
1011,MANBA
1012,MAOA
1013,MAOB
1014,STS
1015,MAT1A
1016,MAT2A
1017,CHST6
1018,MDH1
1019,MDH2
1020,ME1
1021,ME2
1022,MGAT5
1023,MGST2
1024,MGST3
1025,ASAH1
1026,ASAH1
1027,MIP
1028,KMT2A
1029,ALDH6A1
1030,MPI
1031,MPO
1032,MPST
1033,ASL
1034,ABCC1
1035,ASMT
1036,ACHE
1037,ACHE
1038,ASNS
1039,ASNS
1040,ASNS
1041,MTHFD2L
1042,AKR1B15
1043,ASPA
1044,ASS1
1045,ASS1
1046,MTAP
1047,COX1
1048,COX2
1049,COX3
1050,CYTB
1051,MTHFD1
1052,MTHFR
1053,ND1
1054,ND2
1055,ND3
1056,ND4
1057,ND4L
1058,ND5
1059,ND6
1060,MTR
1061,MUT
1062,MVD
1063,MVK
1064,MYO5B
1065,NAGA
1066,NAGLU
1067,NDUFA1
1068,NDUFA2
1069,NDUFA3
1070,NDUFA4
1071,NDUFA5
1072,NDUFA6
1073,NDUFA7
1074,NDUFA8
1075,NDUFA9
1076,NDUFA10
1077,NDUFAB1
1078,NDUFB1
1079,NDUFB2
1080,NDUFB3
1081,NDUFB4
1082,NDUFB5
1083,NDUFB6
1084,NDUFB6
1085,NDUFB7
1086,NDUFB8
1087,NDUFB9
1088,NDUFB10
1089,NDUFC1
1090,NDUFC2
1091,NDUFS1
1092,ATIC
1093,NDUFS2
1094,NDUFS3
1095,NDUFV1
1096,NDUFS4
1097,NDUFS5
1098,NDUFS6
1099,NDUFS8
1100,NDUFV2
1101,NDUFV3
1102,NDUFV3
1103,NEU1
1104,NEU2
1105,ATP1A1
1106,ATP1A2
1107,ATP1A3
1108,ACLY
1109,ACLY
1110,ATP1A4
1111,ATP1B1
1112,ATP1B2
1113,NME1
1114,NME1
1115,NME2
1116,NME3
1117,NME4
1118,NNMT
1119,ATP1B3
1120,NOS1
1121,NOS2
1122,NOS2
1123,NOS3
1124,PNP
1125,NPC1
1126,NPR1
1127,NPR2
1128,NPR2
1129,SLC11A2
1130,ACO1
1131,NSF
1132,NT5E
1133,ATP2B1
1134,ATP2B2
1135,ATP2B3
1136,GPX8
1137,ATP2B4
1138,OAT
1139,OCRL
1140,OCRL
1141,ODC1
1142,ATP4A
1143,OGDH
1144,OGDH
1145,ATP4B
1146,ATP5A1
1147,ATP5A1
1148,ATP5A1
1149,OTC
1150,OXCT1
1151,ALDH7A1
1152,P4HA1
1153,RRM2B
1154,PLA2G3
1155,PAFAH1B1
1156,PAFAH1B2
1157,DUOX2
1158,PAFAH1B3
1159,CHST11
1160,PAFAH2
1161,PRDX1
1162,PRDX1
1163,PRDX1
1164,PAH
1165,GALNT9
1166,ATP6V0A4
1167,ATP6V0A4
1168,ATP6V0A4
1169,ATP5B
1170,RDH8
1171,AK3
1172,NSDHL
1173,PC
1174,PC
1175,PCBD1
1176,PCBD1
1177,PDE11A
1178,ATP5C1
1179,ATP5C1
1180,ACO2
1181,COQ6
1182,COQ6
1183,AMDHD2
1184,GLRX2
1185,GLRX2
1186,LAP3
1187,PCK1
1188,PCK2
1189,DERA
1190,NDUFA13
1191,TNNI3K
1192,ABHD5
1193,MECR
1194,RDH11
1195,KMT5B
1196,HSD17B12
1197,A4GNT
1198,AADAT
1199,AADAT
1200,HSD17B11
1201,HSD17B14
1202,HAO2
1203,HAO2
1204,DCXR
1205,PLCE1
1206,ACP6
1207,PIGP
1208,PIGP
1209,PIGP
1210,GLTP
1211,NT5C3A
1212,PIPOX
1213,GMPR2
1214,GCNT4
1215,CYP39A1
1216,PCYT1A
1217,SLC25A37
1218,PDE1A
1219,PDE1A
1220,PDE1C
1221,CSAD
1222,ATP6V1D
1223,PDE2A
1224,PDE3A
1225,ATP5D
1226,ATP5D
1227,PDE3B
1228,PDE3B
1229,PDE4A
1230,PDE4B
1231,PDE4C
1232,IP6K2
1233,IP6K2
1234,IP6K2
1235,IP6K2
1236,IP6K2
1237,IP6K2
1238,PDE4D
1239,RHCG
1240,PDE6A
1241,PDE6C
1242,ISYNA1
1243,HSD17B7
1244,PDE6D
1245,PDE6G
1246,HACD3
1247,CTDSPL2
1248,PDE6H
1249,ATP5E
1250,ATP5E
1251,PDE7A
1252,PDE7A
1253,PDE8A
1254,PDE8A
1255,PDE8A
1256,PDE8A
1257,PDE8A
1258,PDE9A
1259,PDE9A
1260,PDE9A
1261,PDE9A
1262,PDE9A
1263,PDE9A
1264,PDE9A
1265,PDE9A
1266,PDE9A
1267,PDE9A
1268,PDE9A
1269,PDE9A
1270,PDE9A
1271,PDE9A
1272,PDE9A
1273,PDE9A
1274,PDE9A
1275,PDE9A
1276,PDE1B
1277,LGSN
1278,NT5DC3
1279,PDE6B
1280,ATP5F1
1281,ATP5F1
1282,ATP5F1
1283,PIGT
1284,ATP6V1H
1285,ATP6V1H
1286,ATP6V1H
1287,PDHA1
1288,PDHA2
1289,PDHB
1290,MPC1
1291,ENPP1
1292,ENPP2
1293,ENPP3
1294,ATP5G1
1295,ATP5G1
1296,CYB5R2
1297,ACSL5
1298,CYB5R1
1299,CMPK1
1300,SLC26A4
1301,UPB1
1302,WWOX
1303,ATP5G2
1304,ATP5G2
1305,COQ3
1306,GALNT7
1307,PEPD
1308,ATP5G3
1309,ATP5G3
1310,ATP5G3
1311,PFAS
1312,ACOX1
1313,ACOX1
1314,ATP8B1
1315,PFKFB1
1316,PFKFB2
1317,PFKFB3
1318,PFKFB4
1319,PFKL
1320,PFKL
1321,PFKM
1322,PFKP
1323,ATP5I
1324,PGAM1
1325,PGAM2
1326,PGAM2
1327,PGD
1328,ATP5J
1329,ATP5J
1330,ATP5J
1331,ATP5J
1332,ATP5J
1333,PGK1
1334,PGK2
1335,PGM1
1336,PGM3
1337,ATP6V1A
1338,ABCB1
1339,ABCB4
1340,ABCB4
1341,ABCB4
1342,PHEX
1343,ATP6V1B1
1344,PHYH
1345,ATP6V1B2
1346,PIGA
1347,PIGA
1348,PIGA
1349,PIGC
1350,PIGC
1351,ATP6V0C
1352,PIGF
1353,PIGF
1354,PIGH
1355,PIK3C2A
1356,PIK3C2B
1357,PIK3C2G
1358,PIK3C3
1359,ATP6V1C1
1360,ATP6V1C1
1361,PIK3CA
1362,PIK3CB
1363,PIK3CD
1364,PIK3CG
1365,PIK3R1
1366,PIK3R1
1367,PIK3R1
1368,PIK3R2
1369,PI4KA
1370,PI4KB
1371,ATP6V1E1
1372,ACP1
1373,ACP1
1374,ACP1
1375,PIP4K2A
1376,PKLR
1377,PKLR
1378,PKM
1379,PKM
1380,PKM
1381,PLA2G1B
1382,PLA2G2A
1383,PLA2G4A
1384,PLA2G5
1385,PLCB2
1386,PLCB3
1387,PLCB4
1388,PLCB4
1389,PLCD1
1390,PLCL1
1391,PANK1
1392,PANK1
1393,PANK1
1394,PLCG1
1395,PLCG1
1396,PLCG2
1397,PLD1
1398,PLD2
1399,ATP6V0B
1400,ATP6V1G2
1401,ATP6V1G2
1402,ATP6V0A1
1403,BCO1
1404,PMM1
1405,PMM2
1406,DUOX1
1407,DUOX1
1408,SLCO1C1
1409,A4GALT
1410,ATP5O
1411,ACP2
1412,SLC37A1
