,metabolites
1006,M03131
1007,M03134
1008,M03153
1009,M03167
1010,M03168
1011,N1aspmd
1012,Nacasp
1013,Nacsertn
1014,Ndmelys
1015,Ntmelys
1016,R2coa_hs
1017,Rtotal
1018,Rtotal2
1019,Rtotal2coa
1020,Rtotal3
1021,Rtotal3coa
1022,Rtotal3crn
1023,Rtotalcoa
1024,Ser_Gly_Ala_X_Gly
1025,Ser_Thr
1026,Sfglutth
1027,Ssq23epx
1028,T4hcinnm
1029,T_antigen
1030,Tn_antigen
1031,Tyr_ggn
1032,aacoa
1033,aact
1034,abt
1035,abt__D
1036,ac
1037,acac
1038,acald
1039,accoa
1040,acetol
1041,acetone
1042,acgagbside_hs
1043,acgal
1044,acgal1p
1045,acgalfuc12gal14acglcgalgluside_hs
1046,acgalfucgalacgalfuc12gal14acglcgalgluside_hs
1047,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs
1048,acgalfucgalacglcgal14acglcgalgluside_hs
1049,acgalfucgalacglcgalgluside_hs
1050,acgam
1051,acgam1p
1052,acgam6p
1053,acgbgbside_hs
1054,acglc13galacglcgal14acglcgalgluside_hs
1055,acglcgal14acglcgalgluside_hs
1056,acglcgalacglcgal14acglcgalgluside_hs
1057,acglcgalgbside_hs
1058,acglcgalgluside_hs
1059,acglu
1060,acgly
1061,acgpail_hs
1062,ach
1063,achom__L
1064,acile__L
1065,acleu__L
1066,aclys
1067,acmana
1068,acmanap
1069,acmp
1070,acmpglu
1071,acmpglut
1072,acn13acngalgbside_hs
1073,acn23acngalgbside_hs
1074,acnacngal14acglcgalgluside_hs
1075,acnacngalgbside_hs
1076,acnam
1077,acnamp
1078,acngal14acglcgalgluside_hs
1079,acngalacglcgal14acglcgalgluside_hs
1080,acngalacglcgalgluside_hs
1081,acngalgbside_hs
1082,acorn
1083,acrn
1084,acthr__L
1085,actyr
1086,ade
1087,adn
1088,adp
1089,adpac
1090,adpcoa
1091,adpman
1092,adpoh
1093,adprbp
1094,adprib
1095,adrn
1096,adrncoa
1097,adrncrn
1098,adrnl
1099,aflatoxin
1100,agm
1101,ahandrostan
1102,ahandrostanglc
1103,ahcys
1104,ahdt
1105,aicar
1106,air
1107,ak2lgchol_hs
1108,akg
1109,ala_B
1110,ala__D
1111,ala__L
1112,alaala
1113,alaargcys
1114,alaarggly
1115,alaasnleu
1116,alaglylys
1117,alahisala
1118,alalysthr
1119,aldstrn
1120,allop
1121,alltn
1122,alpa_hs
1123,alpam
1124,alpro
1125,am19cs
1126,am1a4ncs
1127,am1accs
1128,am1acs
1129,am1alcs
1130,am1c4n9cs
1131,am1c9cs
1132,am1ccs
1133,am1cglc
1134,am1csa
1135,am4n9cs
1136,am4ncs
1137,am6sa
1138,am9csa
1139,amet
1140,ametam
1141,amp
1142,amuco
1143,and19one
1144,andrstandn
1145,andrstndn
1146,andrstrn
1147,andrstrnglc
1148,anth
1149,antipyrene
1150,apnnox
1151,apoC
1152,apoC_Lys
1153,apoC_Lys_btn
1154,appnn
1155,aprgstrn
1156,aprut
1157,aps
1158,aqcobal
1159,arab__L
1160,arach
1161,arachcoa
1162,arachcrn
1163,arachd
1164,arachdcoa
1165,arachdcrn
1166,aracheth
1167,arg__D
1168,arg__L
1169,argalaala
1170,argalaphe
1171,argalathr
1172,argarg
1173,argarglys
1174,argargmet
1175,argcysgly
1176,argcysser
1177,arggluglu
1178,argglupro
1179,argglygly
1180,arghisthr
1181,argleuphe
1182,arglysasp
1183,argphearg
1184,argpromet
1185,argprothr
1186,argserser
1187,argsuc
1188,argtyrval
1189,argvalcys
1190,argvaltrp
1191,ascb__L
1192,asn__L
1193,asnasnarg
1194,asncyscys
1195,asnmetpro
1196,asnpheasp
1197,asnphecys
1198,asntyrgly
1199,asntyrphe
1200,asntyrthr
1201,asp__D
1202,asp__L
1203,aspalaarg
1204,aspasnglu
1205,aspglu
1206,aspglupro
1207,aspglutrp
1208,asphiscys
1209,asphispro
1210,asplysglu
1211,asplyshis
1212,aspmetasp
1213,aspprolys
1214,aspvalasn
1215,atp
1216,atvacid
1217,atvacylgluc
1218,atvethgluc
1219,atvlac
1220,atvlacgluc
1221,avite1
1222,avite2
1223,b2coa
1224,bamppald
1225,band
