,dwgenes
1004,AC004923.4
1005,SMILR
1006,AP002954.1
1007,AP002748.3
1008,AC024901.1
1009,ATF4P4
1010,ZNF10
1011,SMIM3
1012,LINC02390
1013,AP002518.2
1014,AP002761.3
1015,AP001363.2
1016,CLIP1-AS1
1017,AC138123.1
1018,MGAM
1019,AC025165.2
1020,LINC02298
1021,AC117498.1
1022,AC007298.1
1023,AL162632.1
1024,AC083805.2
1025,LINC00239
1026,RHOXF1-AS1
1027,NBEAP1
1028,AL135999.1
1029,AC007040.2
1030,MIR4713HG
1031,CSPG4P12
1032,AC025580.1
1033,AC021739.2
1034,LINC02352
1035,LINC01491
1036,DNM1P47
1037,AC243562.2
1038,LINC01220
1039,AC104041.1
1040,AL355596.1
1041,AL050341.2
1042,AC040169.1
1043,NORAD
1044,SPDYE6
1045,PMF1-BGLAP
1046,AC012414.5
1047,AL355607.2
1048,AF213884.3
1049,AC026150.1
1050,AC092803.2
1051,AC002310.4
1052,AC106886.2
1053,LINC01311
1054,DOCK9-AS2
1055,AC138304.1
1056,AP003071.2
1057,ADAMTS7P3
1058,SPINT1-AS1
1059,AL845331.3
1060,AC018552.3
1061,
1062,AC087500.1
1063,AC108134.3
1064,AC007114.1
1065,TAPT1-AS1
1066,AC015818.3
1067,ANXA8L1
1068,AP005329.1
1069,AC138696.1
1070,AC005332.1
1071,ANXA8
1072,MYO15B
1073,AC011498.2
1074,AC091132.5
1075,AC005884.1
1076,AC024575.1
1077,AC005306.1
1078,AC025048.4
1079,AC022966.1
1080,AC002116.2
1081,FAM60CP
1082,AC011468.2
1083,AC006262.1
1084,AC008537.1
1085,MAN1B1-AS1
1086,ZNF350-AS1
1087,AC011503.1
1088,TMEM185A
1089,IPO5P1
1090,AC008537.2
1091,
1092,AC010531.7
1093,BORCS7-ASMT
1094,POC1B-AS1
1095,AC135506.1
1096,URGCP-MRPS24
1097,LPP-AS2
1098,BNIP3P4
1099,AL671883.2
1100,AC026786.2
1101,AL359643.2
1102,AC010240.3
1103,AL365330.1
1104,TPTE2P2
1105,AL451165.2
1106,AL645608.8
1107,AC099522.2
1108,GTF2IP20
1109,AP000317.2
1110,AC239868.3
1111,AL713999.1
1112,AC093865.1
1113,AL138963.3
1114,AC073957.3
1115,LINC02019
1116,AC012510.1
1117,TBC1D3K
1118,AL121832.2
1119,NATD1
1120,CBSL
1121,AC242376.2
1122,TBC1D3B
1123,ZNF2
1124,AL161431.1
1125,AC113385.3
1126,FCGBP
1127,UBE2Q2P6
1128,AL162497.1
1129,SIK1B
1130,AC092118.2
1131,HIST1H4I
1132,CSPG4P10
1133,
1134,
1135,AC007325.2
1136,PKD1L3
1137,AC116407.2
1138,GOLGA8IP
1139,RF01880
1140,AC023310.4
1141,AC136352.4
1142,CEP83-AS1
1143,FP671120.1
1144,AC080080.1
1145,AC003681.1
1146,AC005593.1
1147,SETD8P1
1148,AC007342.9
1149,AC245140.2
1150,MIR4697HG
1151,FP236383.1
1152,LINC01348
1153,FP236383.2
1154,AL078581.3
1155,SCHLAP1
1156,AC008537.4
1157,AL031777.3
1158,AL353759.1
