gene,P_rep1,P_rep2,P_rep3,7dCI_rep1,7dCI_rep2,7dCI_rep3,,,,,
DPF1,289.7405657,215.0467019,198.946423,35.98736255,38.89689244,29.99615503,,,,,
ADCY4,27.11022837,186.174691,76.25323994,469.4715023,716.056429,578.9955507,,,,,
PLEK2,770.9471192,967.7101583,468.4127596,45.80209779,116.6906773,53.71404506,,,,,
PRR11,9696.989809,7120.435239,8911.882419,1940.045999,3198.385383,1058.934031,,,,,
STAT2,2587.33242,2055.886293,2641.343432,15737.92796,9791.408652,10671.65534,,,,,
HAUS8,875.9992541,837.288316,920.7722056,135.7705042,199.7885839,191.8358752,,,,,
PTGFR,992.9121139,1208.642111,850.8256246,4993.246554,5509.214402,4545.463865,,,,,
MAF,327.0171297,198.1217299,422.5461492,4380.643496,2344.42179,2885.211563,,,,,
TCN2,52.52606746,72.67782053,100.9065431,616.692531,360.6802754,443.6640605,,,,,
RCAN2,428.6804861,526.6653022,396.1728481,6674.019964,4971.73007,3286.322939,,,,,
TRAIP,471.0402179,427.106644,699.46581,81.78946034,120.2267585,122.0773751,,,,,
PIK3IP1,188.0772093,222.0158079,196.6530925,1088.617717,800.9223762,1116.833586,,,,,
DEPDC1,3170.20233,3698.604155,2519.796914,617.5104256,1417.968534,312.5180804,,,,,
PROS1,315.1564048,440.0492695,391.0128544,2029.196511,1780.416849,1984.629327,,,,,
KCNB2,13.55511418,3.982346331,13.75998315,106.3262984,106.0824339,102.5449951,,,,,
NCAPG,4020.785745,5080.478331,3769.66205,686.2135722,2038.550772,598.5279307,,,,,
AURKA,5098.417322,4020.178621,7321.4577,785.1788193,1442.721101,610.3868757,,,,,
DUSP1,5449.155902,6286.133683,6490.698717,1324.989257,880.4842016,1469.811597,,,,,
MX2,76.24751728,45.7969828,110.6531978,553.7146465,380.1287216,441.5713055,,,,,
RFTN2,50.83167819,52.76608888,41.27994944,336.9725766,215.700949,269.2678103,,,,,
CCNF,3588.71648,2239.074224,3986.955117,686.2135722,783.2419705,532.9549406,,,,,
