,Sharma_21_H89-EGF_k0.1_r0.01,min_18_GSE122927_Meki_3B6_k0.1_r0.01,min_18_GSE122927_p21_3B6_k0.1_r0.01,min_18_GSE122927_SerumStarvation_3B6_k0.1_r0.01,Sharma_21_P_TPA_k0.1_r0.01,min_18_GSE122927_p21_2E2_k0.1_r0.01,min_18_GSE122927_P_ContactIn_3B6_k0.1_r0.01,min_18_GSE122927_ContactIn_2E2_k0.1_r0.01,min_18_GSE122927_CDK46i_2E2_k0.1_r0.01,min_18_GSE122927_P_CDK46i_2E2_k0.1_r0.01,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r0.01,johnson_18_GSE117444_P_k0.1_r0.01,Sharma_21_EGF_k0.1_r0.01,Sharma_21_P_EGF_k0.1_r0.01,min_18_GSE122927_P_p21_3B6_k0.1_r0.01,Sharma_21_P_H89-TPA_k0.1_r0.01,min_18_GSE122927_Meki_2E2_k0.1_r0.01,johnson_18_GSE117444_k0.1_r0.01,min_18_GSE122927_SerumStarvation_2E2_k0.1_r0.01,min_18_GSE122927_P_Meki_3B6_k0.1_r0.01,Sharma_21_TPA_k0.1_r0.01,Sharma_21_P_H89-EGF_k0.1_r0.01,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r0.01,min_18_GSE122927_ContactIn_3B6_k0.1_r0.01,min_18_GSE122927_P_p21_2E2_k0.1_r0.01,min_18_GSE122927_P_Meki_2E2_k0.1_r0.01,min_18_GSE122927_P_ContactIn_2E2_k0.1_r0.01,min_18_GSE122927_CDK46i_3B6_k0.1_r0.01,min_18_GSE122927_P_CDK46i_3B6_k0.1_r0.01,Sharma_21_H89-TPA_k0.1_r0.01
cmp,0.0,0.00316769777526216,0.0,0.0,0.006196368216439722,0.004021234710641411,0.004481726212642246,0.0,0.0,0.0,0.0021429353449219234,0.0,0.0,7.180743665541044e-06,0.0,0.0,0.0,0.0,0.0,0.006613097403504089,0.0,7.342195232055163e-05,0.003012818040726204,0.0,0.0,0.0027741072564156795,0.0038750327600444285,0.0,0.0,0.0
cys_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006066096482692824,0.0,0.0,0.0,0.0001552314321745252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dag_hs,0.0,0.0,0.0013290219086631784,0.002629335708576284,0.008242916687534374,0.00604294143897565,0.0015474160737741862,0.000769942360074861,0.00037798296051282543,0.0,0.022702178169667776,0.019644052128811144,0.0020377897903528105,0.0,0.0,0.0,0.0006283947483395283,0.06524296433263846,0.029487498796320878,0.03906036466595943,0.002004817339331228,0.0,0.030576441852722427,0.0,0.0012283849315436438,0.03311842801739829,0.028227621829144428,0.0,0.00024617117922102046,0.0
damp,0.0,0.0,0.0,0.0,0.0,0.0008139853767162044,0.0017273932915557318,0.0,0.0,0.0,0.0,0.0,0.0,3.372730148726161e-05,0.0,5.562106648540144e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dcmp,0.0,0.0,0.0,0.0,0.0,0.0,1.958657803764927e-05,0.0,0.0,0.0,0.0,0.0016420324641725208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030646038389990925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003043359180513079,0.0
dgmp,0.0,0.02576702214962857,0.0,0.0012956684860934043,0.020784455679104273,0.0006186439837166985,0.0014919593295136132,0.0,0.0,0.003243167402424282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009930191392157274,0.0,0.0,0.0,0.0002599740457582424,0.004456599037713748,0.0015347243080879504,0.0,0.012226205471352907,0.0,0.009012792427292879,0.0,0.0010456436981516437
dtmp,0.0,0.0,0.0,0.0,0.0,0.004092092626990489,0.002811527607534549,2.797621948187803e-05,0.0,0.0,0.006571026328627866,0.0,0.00036941766696829866,0.0005408567740065782,0.0,0.0,0.0003553109341116387,0.0,0.0,0.0027861680541477374,0.0,0.0,0.0,0.0,0.0,0.00033737316465302,0.0,0.0,8.271021875399418e-05,0.0
gh,9.050493903218296e-06,9.44573877183477e-05,0.0,0.00046808176434530354,0.000417466488421996,0.0004916893547633546,1.1942092575892578e-05,0.0,0.0,0.00021715433472646288,0.0006071876881672385,8.447316016466019e-06,0.0,0.0,0.00011405793448340102,8.516866262989819e-06,4.575098786179384e-06,6.505249391490076e-05,0.0,0.0,0.0,5.416618308749625e-06,0.0,0.000148156602801435,0.00043590932702354486,0.0,0.0,0.0009953921917702354,2.961186164257656e-05,0.0003267878665872807
gln_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5227874357360723e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glu_L,0.0,0.019950017893558557,0.0,0.0,0.00945747417236039,0.0009014084506397941,0.0008395657584002488,0.0,0.0,0.0014533203001289836,0.0,0.0,0.0,0.0,0.0,0.0001280530856624712,0.0,0.0,0.0,0.0,0.0,0.0005483084616747327,0.0055411724305956134,0.0,0.0,0.006944134895089875,0.014998186427112373,0.0015112272437877924,0.0,0.0
gly,0.0,0.09438009468407182,0.002566924440481391,0.0,0.08970621863607202,0.003893254209545745,0.003863565215168159,0.0,0.0,0.006859879094187685,0.042709494680265594,0.01697473989255605,0.005432932578651675,0.0,0.0018533352843605507,0.0,0.0,0.1596304852718449,0.07860411504758855,0.09910316278253752,0.005290184276376546,0.0,0.07368047187101809,0.0014868552383077115,0.01472853478065996,0.09518792236552683,0.05744238829561969,0.03416711252046112,0.0003946144513991522,0.002592761379466878
glygn1,0.0,0.0006073428656563079,0.0003973018994959275,8.131422287981836e-05,0.0011506211930270344,0.0005526522032356581,0.0006654953249465437,0.0002145625497008148,8.783030026907752e-05,0.0,0.004424686181562553,0.002021837528902332,0.0005578781964432486,0.0,0.0,0.0,0.0,0.009218046620115121,0.004679327299382866,0.0067197043401157,0.0004968410198104204,0.0,0.0054317919149024976,0.0,0.000622002631559915,0.004062515891823535,0.0026211738983978705,7.556448842236264e-05,0.00014068484864492294,0.0
gmp,0.0,0.0,0.0011854075073348207,4.171642736043543e-05,0.0,0.0001457032607647109,0.0031852118622129662,0.0,0.0002853506535292914,0.0,0.006688178913804883,0.0,0.0,0.0,0.0,0.0,0.0,0.009219007815426295,0.004204814155395836,0.007487025060566599,0.0006680562844763638,0.0,0.007917403551946188,0.0,0.0,0.0047483963466618834,0.006319094504511024,0.0,0.0,0.0
gthox,0.0,0.0,0.0,0.0006234692410013147,0.0046741298889611885,0.0,0.0,0.0,0.0,0.0,0.00260445883259999,0.002220168341463394,0.0,0.0,0.0,0.0,0.0,0.028534297317209155,0.0068051725933775346,0.014610625710999595,0.0,3.359404066568257e-05,0.00675258375978192,0.0002945669166880583,0.0,0.011919551072284982,0.0017553078160445629,0.0,5.207335995884065e-05,0.0
gthrd,0.0,0.0,0.0,0.0,0.0,0.00010296854928417773,0.000775077483565255,0.0,0.0,0.0,0.0,0.0063948806929183715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013720247064565543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.497029108664498e-05,0.0
