,upgenes
1275,MTCH2
1276,SENP3
1277,WDR53
1278,MLH1
1279,TOMM6
1280,CDH24
1281,MUS81
1282,G3BP1
1283,SIGMAR1
1284,SLC25A22
1285,U2AF1
1286,PSMD13
1287,DOT1L
1288,CENPP
1289,PRPF3
1290,SBDSP1
1291,WDR3
1292,ARL4A
1293,FGF1
1294,ALDH1B1
1295,C8orf38
1296,PSMG1
1297,ZDHHC12
1298,RAD51C
1299,GZF1
1300,RAB8A
1301,EXOSC4
1302,PSMB3
1303,SRPK1
1304,KIAA0391
1305,LOXL2
1306,SLC35A4
1307,HSPB11
1308,RRN3
1309,UXS1
1310,MRPL9
1311,ATIC
1312,XRCC5
1313,DNAJC11
1314,VASP
1315,CLEC14A
1316,WDR5
1317,IPO11
1318,MAP2K1
1319,MMACHC
1320,CEP57L1
1321,PTPLA
1322,LOC730091
1323,RRP1B
1324,GPR19
1325,MRPL35
1326,TOMM22
1327,SNORA64
1328,RPF1
1329,C19orf10
1330,NAA20
1331,KPNA3
1332,HLX
1333,NOL7
1334,C8orf46
1335,CLPTM1L
1336,MRPL3
1337,PSME4
1338,TAF5
1339,MRPS34
1340,NAA10
1341,SPOCD1
1342,TUBGCP3
1343,ANKRD54
1344,DOPEY2
1345,AZI1
1346,KIAA1841
1347,OGFOD1
1348,PREB
1349,E2F3
1350,NDUFS6
1351,DYNLL1
1352,PANK4
1353,SURF2
1354,FRMD5
1355,C3orf75
1356,BUD13
1357,RPS6KL1
1358,ERCC2
1359,FH
1360,NFKBIB
1361,TARDBP
1362,YEATS4
1363,HSPA5
1364,LSM6
1365,DDX56
1366,PM20D2
1367,NCBP1
1368,C1orf74
1369,COPS6
1370,HTR7
1371,C3orf14
1372,CDK2AP2
1373,YKT6
1374,PGBD1
1375,PSMB2
1376,SNORA23
1377,YWHAQ
1378,URB1
1379,B3GALTL
1380,POP4
1381,AAAS
1382,PTPDC1
1383,KDM4D
1384,CLASP2
1385,MTF2
1386,POLR2F
1387,VDAC3
1388,DDX41
1389,OXNAD1
1390,TAF5L
1391,FAM60A
1392,C19orf55
1393,PLEKHA2
1394,SNORD4A
1395,PHF5A
1396,SF3A3
1397,NFKBID
1398,SUGT1
1399,DHX15
1400,LOC148709
1401,NDUFB3
1402,MAK16
1403,XRCC1
1404,TRIM6
1405,IPPK
1406,PSIMCT-1
1407,ELOVL1
1408,TBCE
1409,DDX31
1410,UQCRFS1
1411,SPRY2
1412,SERTAD2
1413,OTUD3
1414,LIN52
1415,GLA
1416,SNORA40
1417,TMEM138
1418,SLC28A3
1419,DHX30
1420,SLC7A6
1421,CHD1L
1422,RPL36A
1423,AGFG2
1424,MRPL37
1425,POLR1C
1426,C3orf78
1427,CCDC168
1428,DDX18
1429,NIPA1
1430,SIRPA
1431,MPHOSPH9
1432,POLR2C
1433,HERC3
1434,DNAJC6
1435,SRD5A1
1436,PTPN1
1437,RPS6KB2
1438,FAM49B
1439,MRPL22
1440,SNORA10
1441,RTN4IP1
1442,TRIO
1443,CLPP
1444,H2AFY
1445,GEMIN5
1446,C12orf32
1447,UTP6
1448,DLEU1
1449,CABYR
1450,DUS1L
1451,PRMT1
1452,FAM136A
1453,LSR
1454,TOP3A
1455,DNAJA1
1456,MTA2
1457,PRR22
1458,TAF9
1459,EXOSC10
1460,MRPL36
1461,LENG1
1462,SETD3
1463,ATG4D
1464,ACTR1A
1465,PFDN1
1466,POLR3B
1467,POLDIP2
1468,NF2
1469,FANCE
1470,OSTF1
1471,CPPED1
1472,TTC27
1473,MRPL51
1474,AXL
1475,LSM1
1476,PAFAH1B2
1477,SLC35B4
1478,MTMR2
1479,FADD
1480,METAP1
1481,ANKLE2
1482,KPNA1
1483,DEPDC7
1484,TCEB3
1485,DDX47
1486,HAUS2
1487,LOC440288
1488,RNF25
1489,SFMBT1
1490,LOC100287616
1491,NAT10
1492,GNA11
1493,STRAP
1494,PPP2R1B
1495,ADSL
1496,VTA1
1497,ATP6V1D
1498,CEP76
1499,KLHDC4
1500,PRKAR2A
1501,ATPIF1
1502,PSMD9
1503,LSG1
1504,PDHA1
1505,ABCB8
1506,MSH6
1507,CDR2L
1508,FAM58A
1509,TSN
1510,C18orf25
1511,POLR1A
1512,EED
1513,KLHL18
1514,CCDC124
1515,DPY19L2P2
1516,CERK
1517,GSTA1
1518,PCBD2
1519,TAMM41
1520,TXNL4A
1521,IER2
1522,ESRP2
1523,C7orf43
1524,VANGL1
1525,PIGU
1526,PRKAG2
1527,USP10
1528,MFN2
1529,PSMC2
1530,TRIM59
1531,SLC4A2
1532,TSFM
1533,C6orf115
1534,MRPL42
1535,USP37
1536,RPUSD1
1537,PELO
1538,ENTPD7
1539,ENAH
1540,ADAT2
1541,CASZ1
1542,CDK5RAP1
1543,DYRK3
1544,C3orf67
1545,ALG9
1546,FXN
