,dwgenes
805,AC007038.1
806,RPL4P4
807,KHSRPP1
808,AL049646.1
809,TEX53
810,PRRT3-AS1
811,AL022316.1
812,AC009245.1
813,AC004835.1
814,RPS18P12
815,LINC00271
816,AL109917.1
817,AC125232.1
818,AL354732.1
819,LINC00689
820,RSL24D1P11
821,AC005224.1
822,LINC00899
823,AC104655.1
824,IPO9-AS1
825,LINC01031
826,AC079742.1
827,AC010733.1
828,SLCO4A1-AS1
829,MIR3936HG
830,RASA4DP
831,CYP51A1P2
832,LINC01392
833,LINC01237
834,DLG5-AS1
835,RPS15AP11
836,LINC02433
837,ETV5-AS1
838,AC093616.1
839,LANCL1-AS1
840,H2BFS
841,AC099794.1
842,AC234782.4
843,FAM239A
844,CCT6P3
845,SEMA3F-AS1
846,AC231981.1
847,AL354733.3
848,AC007041.1
849,AP002004.1
850,BRD7P5
851,AL158832.1
852,AC009404.1
853,AL355472.3
854,AC067956.1
855,LINC01424
856,AL033528.2
857,AC124916.1
858,RPL23AP95
859,AC245052.4
860,NONOP2
861,
862,FAM200B
863,LINC00649
864,ABCA17P
865,OR7E7P
866,SNORD13
867,LINC01119
868,STPG4
869,AC125618.1
870,AMY2B
871,RPS4XP13
872,AL031428.1
873,RDH14
874,HIST2H2BB
875,YAE1D1
876,PEG10
877,ZBTB20-AS5
878,AC109992.1
879,RPL21P11
880,MTAPP1
881,AGAP13P
882,AC026347.1
883,HNRNPKP4
884,FAM86DP
885,RN7SL597P
886,AC025566.1
887,C4A
888,USP2-AS1
889,AP003396.1
890,NADK2-AS1
891,RAD51-AS1
892,AC010198.1
893,PRR7-AS1
894,AP000873.2
895,SPTY2D1OS
896,TMEM161B-AS1
897,AC006064.2
898,GAPDHP60
899,AC079594.2
900,AC097534.1
901,AC105001.1
902,AC019163.1
903,LINC02362
904,ZNF324B
905,AC006160.1
906,TMEM158
907,LINC01340
908,KLHL2P1
909,EPHA5-AS1
910,AC010261.1
911,AC104126.1
912,AC097478.1
913,AC009630.1
914,AC146944.3
915,AC139272.1
916,AC021733.1
917,LINC02159
918,AC091185.1
919,HOXA-AS2
920,EIF5AL1
921,GASAL1
922,LINC01484
923,ALG1L13P
924,PKMP4
925,AP003354.2
926,CHKB-CPT1B
927,AP001972.1
928,PABPC4L
929,AC138866.2
930,AC022182.1
931,ANKHD1-EIF4EBP3
932,TOLLIP-AS1
933,AC079917.1
934,NOX5
935,AC145124.1
936,ENPP7P6
937,AC068775.1
938,AC011462.1
939,PXN-AS1
940,ZNF432
