,upgenes
1407,SAAL1
1408,FAM96A
1409,NAV2
1410,GLYATL1
1411,PLK1
1412,SCG5
1413,RCCD1
1414,MBD6
1415,SP2
1416,COQ7
1417,MYO5B
1418,ZNF226
1419,ZNF180
1420,CDT1
1421,ANKRD11
1422,KMT2D
1423,NCKAP5L
1424,TRAPPC9
1425,CHAF1A
1426,ZNF444
1427,NXN
1428,MFSD3
1429,ANGPTL4
1430,IGFBP6
1431,ZNF558
1432,CDK2AP2
1433,ZNF232
1434,PRR25
1435,E4F1
1436,ECI1
1437,POLR2G
1438,SPINDOC
1439,ULK4
1440,FADD
1441,LTBP3
1442,PBK
1443,TTC39C
1444,IRF2BP2
1445,PDHB
1446,KCTD6
1447,MPLKIP
1448,ACOX2
1449,FILIP1L
1450,RFWD3
1451,HR
1452,BMP1
1453,SERINC2
1454,CDKN2AIP
1455,FAM84B
1456,TMEM208
1457,LRP1B
1458,PKIG
1459,STX18
1460,ANKRD49
1461,LETM1
1462,STXBP6
1463,LGALS9
1464,IRS1
1465,ZNF354A
1466,APEX2
1467,NPIPB12
1468,PRELID1
1469,NPIPB3
1470,MRPL1
1471,C22orf15
1472,CXCL8
1473,PLEKHA2
1474,PCBP1
1475,RGPD8
1476,LRRC45
1477,CHRNA5
1478,CENPX
1479,DUS1L
1480,GUSB
1481,BRD3
1482,ZFPM2
1483,CHD3
1484,UBE2E3
1485,HNRNPA3
1486,CNGB3
1487,CMTM8
1488,CDK1
1489,LRRN2
1490,DCLK2
1491,KRT86
1492,PA2G4
1493,ELOVL6
1494,KRT83
1495,CDH2
1496,COMMD5
1497,TRABD
1498,SOCS6
1499,CDCA4
1500,CHCHD7
1501,AC093323.1
1502,LSM 3.00
1503,PAQR8
1504,NUDT6
1505,TANC2
1506,HS6ST2
1507,SOX7
1508,FAM86JP
1509,KYAT1
1510,MFN1
1511,C1GALT1C1
1512,NETO2
1513,SHCBP1
1514,CHD7
1515,ESCO2
1516,ZBTB26
1517,POLR1C
1518,ZNF318
1519,CXXC5
1520,BPTF
1521,RGS19
1522,TCEA2
1523,GPHN
1524,VAT1L
1525,SPATA5L1
1526,BCL2
1527,KNDC1
1528,MRM3
1529,KLF17
1530,FRMD5
1531,MIR31HG
1532,TLN2
1533,FBXW10
1534,SRGAP2C
1535,SCG2
1536,THOP1
1537,MTBP
1538,ALG14
1539,CARNS1
1540,CHCHD1
1541,TMCC1
1542,SSH3
1543,SP3
1544,RNASEH2C
1545,LCLAT1
1546,MIR4435-2HG
1547,SH3RF3
1548,GXYLT2
1549,GRK2
1550,CKS1B
1551,ZNF483
1552,SNCG
1553,TNFRSF10C
1554,PC
1555,SCAI
1556,SLC19A1
1557,RCE1
1558,AGFG1
1559,CBX2
1560,C1QTNF1
1561,FBXO45
1562,MSRB3
1563,C16orf91
1564,TLR1
1565,RGMB
1566,ZDHHC24
1567,TRMT10C
1568,CTU2
1569,PIGG
1570,ZHX3
1571,EXO1
1572,ZWILCH
1573,MYO1H
1574,IQCK
1575,KIAA1551
1576,RPL15
1577,CEP135
1578,PDZK1
1579,DENND6A
1580,PQLC2L
1581,C19orf70
1582,FBXW8
1583,CA5A
1584,CTBP2
1585,ZDHHC14
1586,UBE2C
1587,ZNF654
1588,PACS1
1589,HIGD2B
1590,CKAP5
1591,CCNE2
1592,CST6
1593,LSM 1.00
1594,BANF1
1595,CHRNA7
1596,SMAD2
1597,MCTP1
1598,LIPT2
1599,RPS6KB2
1600,RMI2
1601,SMIM37
1602,B3GNTL1
1603,MLXIP
1604,NR2F1
1605,AURKAIP1
1606,LINC01106
1607,SLC35E3
1608,ZDHHC21
1609,UNC119B
1610,MBLAC2
1611,SSNA1
1612,CSTF3
1613,SPHK1
1614,ATAD5
1615,RTTN
1616,CDC26
1617,RNPEP
1618,DNAJC30
1619,WDR25
1620,CNTD1
1621,MAP3K19
1622,LMNB2
1623,KRT18P28
1624,THAP4
1625,DEAF1
1626,FAM210A
1627,CHD9
1628,GATD1
1629,TOP3A
1630,ZBTB38
1631,CCDC71
1632,ZFAS1
1633,IRX3
1634,SLC25A22
1635,PGBD5
1636,FAM20C
1637,AC098864.1
1638,CHID1
1639,ZNF620
1640,ZNF619
1641,BET1L
1642,DMAP1
1643,IMPDH2
1644,DDX10
1645,LCORL
1646,BEND3
1647,RPS3AP5
1648,LINC00843
1649,GLDC
1650,KLHL11
1651,SUZ12
1652,DHFR2
1653,MPI
1654,EXOSC4
1655,RMI1
1656,CTC1
1657,AURKB
1658,TMEM107
1659,RRS1
1660,RCC2
1661,FARSA
1662,SAMD4B
1663,FUCA1
1664,CDH4
1665,ZFPM1
1666,PCED1B
1667,PCBP1-AS1
1668,MYADM
1669,CITED4
1670,DCTPP1
1671,ZNF771
1672,PSTK
1673,ANKRD18A
1674,CCDC43
1675,PAK2
