,dwgenes
1213,RRM1-AS1
1214,AP002433.1
1215,PXN-AS1
1216,HMBS
1217,AC019209.3
1218,AC090023.2
1219,TMPO-AS1
1220,HMGN2P6
1221,AC025423.4
1222,AC069437.1
1223,KRT7-AS
1224,AC011603.2
1225,AC073612.1
1226,AC125611.3
1227,AC125611.4
1228,LINC02313
1229,AL157871.4
1230,AL391261.2
1231,LINC02307
1232,AC004816.1
1233,AC084757.1
1234,AC091117.1
1235,AL590133.2
1236,SORD2P
1237,AC027682.2
1238,AC100827.2
1239,AC137761.1
1240,AC092718.2
1241,AC124944.3
1242,AC104024.2
1243,AC126696.2
1244,LINC01963
1245,AC106820.5
1246,AL512274.1
1247,AC013640.1
1248,ANKRD26P1
1249,AC008870.3
1250,AC145285.4
1251,AC005592.1
1252,AC091180.5
1253,AC145207.2
1254,AJ003147.2
1255,AC113189.2
1256,AC112907.3
1257,AP005899.1
1258,AC145207.6
1259,AC005726.4
1260,AC130324.2
1261,AC093484.3
1262,AC006441.3
1263,NDUFV2-AS1
1264,AC129492.4
1265,AC098848.1
1266,AC007773.1
1267,
1268,AC011447.3
1269,AC027319.1
1270,AC010327.3
1271,NDUFV2P1
1272,GABRQ
1273,AC005523.1
1274,AC005253.2
1275,AC093503.2
1276,AP001350.1
1277,AC010969.2
1278,HMGN3-AS1
1279,MTCO3P22
1280,AL445228.2
1281,MILR1
1282,AL589666.1
1283,AC012073.1
1284,AL024508.2
1285,AC093297.2
1286,AL133215.2
1287,HIST1H4K
1288,HIST1H2BM
1289,MIR6126
1290,HIST1H3B
1291,AC241644.3
1292,AC012414.7
1293,AL355338.1
1294,AC125257.2
1295,HIST1H2AH
1296,HIST1H4L
1297,AC006001.4
1298,HIST1H3A
1299,U2AF1L5
1300,DUSP14
1301,UHRF1
1302,HIST1H4D
1303,HIST1H2BF
1304,PCGF2
1305,AL353770.4
1306,AC010542.5
1307,FP236241.1
1308,DDX52
1309,HIST1H2AB
1310,ACACA
1311,HIST1H4A
1312,AC015813.5
1313,FAM230C
1314,AC018629.1
1315,AC006511.3
1316,
1317,AL021920.2
1318,
1319,
1320,AC104073.4
