,upgenes
1269,DHRS1
1270,ZFP90
1271,MPDZ
1272,CCDC113
1273,OGT
1274,MATN1
1275,TSC22D1-AS1
1276,GLIS2
1277,TTC21A
1278,MAST3
1279,OPTN
1280,ZNF383
1281,PCDHA3
1282,GNPTG
1283,C1orf21
1284,ITGB4
1285,TMEM140
1286,TP53TG1
1287,TNFSF10
1288,B3GNT7
1289,TBKBP1
1290,ABCD4
1291,ST5
1292,ZNF333
1293,TEN1-CDK3
1294,C17orf39
1295,NBR1
1296,CYP2D6
1297,ABL1
1298,IGF2R
1299,ACOT12
1300,SPATA20
1301,TSSK4
1302,PLEKHB1
1303,SPAG17
1304,SPG20OS
1305,SLC30A4
1306,KIAA0930
1307,SLC25A45
1308,PCDHA4
1309,GPR172B
1310,GSTT1
1311,WASF1
1312,ZXDA
1313,FNDC5
1314,CACHD1
1315,SCN8A
1316,TSNAXIP1
1317,RAPGEF2
1318,RHBDF1
1319,TSHZ1
1320,AIG1
1321,N4BP2L2
1322,SPATA13
1323,PCCA
1324,CASC1
1325,NUDT14
1326,TMEM67
1327,FAAH
1328,THRA
1329,ZMYM5
1330,DENND4C
1331,ANKAR
1332,ELF1
1333,ZNF578
1334,RNF146
1335,F7
1336,LOC100505696
1337,SIRT4
1338,SNX9
1339,RB1CC1
1340,RNF213
1341,ZFP37
1342,RPLP0P2
1343,WDR65
1344,DOCK6
1345,ABHD14A
1346,CECR1
1347,AGRN
1348,SIX1
1349,LINC00173
1350,CORO6
1351,ZFYVE28
1352,LMBR1L
1353,OCEL1
1354,RAB6B
1355,PTEN
1356,ARID4A
1357,LOC100505648
1358,PQLC3
1359,KLHL35
1360,SGSH
1361,RNF170
1362,LAPTM4A
1363,CNFN
1364,KDM4B
1365,UBR2
1366,CHD3
1367,ZSCAN18
1368,TPST1
1369,RNF44
1370,GPR173
1371,DUOX1
1372,ZSCAN30
1373,ANO2
1374,NUCB1
1375,OLFML3
1376,USP20
1377,CHADL
1378,SSR4P1
1379,CCDC165
1380,ZNF446
1381,B3GNT1
1382,RMND5A
1383,DOPEY1
1384,VPS41
1385,ZNF558
1386,CCDC57
1387,CDKN2B
1388,CRY2
1389,ZNF570
1390,CMAHP
1391,NPHP1
1392,IZUMO4
1393,DNAH10
1394,MAST1
1395,SPOCK1
1396,CDNF
1397,HPS1
1398,IFIT1
1399,LRRK1
1400,LENG9
1401,ANKRD35
1402,GPX3
1403,ZNF615
1404,DNAJB2
1405,NAPRT1
1406,TRAF3IP2
1407,CRTAP
1408,ECH1
1409,HDHD3
1410,PARP15
1411,CD79B
1412,EIF3E
1413,STAT6
1414,C8orf44
1415,MYLK
1416,TMEM53
1417,ZNF451
1418,HOXA11
1419,IL10RB
1420,ZNF792
1421,CTDSP2
1422,MIF4GD
1423,ZNF815
1424,CNKSR3
1425,C12orf76
1426,C4orf36
1427,PBX1
1428,ISL2
1429,C1orf101
1430,PGRMC1
1431,ADCY9
1432,BIN1
1433,LOC388588
1434,PRDX5
1435,GEMIN8
1436,PRICKLE2
1437,ASPRV1
1438,CAT
1439,ADAMTS3
1440,HIVEP1
1441,NFE2L2
1442,C6orf165
1443,SHBG
1444,CROCCP3
1445,LOC100506548
1446,NCOA2
1447,ZNF491
1448,KIAA0319L
1449,SCNN1A
1450,ZNF571
1451,RNF13
1452,AGBL2
1453,DEAF1
1454,ANXA4
1455,LHPP
1456,C14orf176
1457,PLB1
1458,SYCP2L
1459,AUH
1460,ZNF740
1461,TRPM4
1462,ARNT
1463,ZNF471
1464,KLHDC9
1465,BCMO1
1466,TARSL2
1467,RSPH3
1468,CRBN
1469,PCDHB3
1470,LOC100506462
1471,TNKS
1472,OVCH1
1473,KRBA2
1474,C16orf7
1475,ZNF658
1476,C10orf114
1477,SLC26A11
1478,BBS9
1479,VSTM2L
1480,TRIM38
1481,ANKRA2
1482,NDRG4
1483,PACS2
1484,THY1
1485,RFX3
1486,CCNL2
1487,NHLRC3
1488,LYPD3
1489,CELSR3
1490,LOC728377
1491,LOC100507466
1492,GDF7
1493,NDRG1
1494,SYDE2
1495,POLD4
1496,UNQ6975
1497,IRF2
1498,SH3BP2
1499,ZNF284
1500,KCTD7
1501,UBTD2
1502,C11orf35
1503,TRIM17
1504,LOC100128398
1505,WNT2B
1506,HDAC10
1507,EFNA4
1508,SP100
1509,AZI2
1510,CD37
1511,SCN1A
1512,RAG1
1513,SOX8
1514,GSTK1
1515,CTC1
1516,C11orf45
1517,CYP2A7
1518,IFNGR1
1519,NADSYN1
1520,DYNLRB2
1521,SLC25A29
1522,EIF4EBP3
1523,FAAH2
1524,ERO1LB
1525,SLC34A3
1526,DTWD1
1527,TMEM42
1528,RCBTB2
1529,POLL
1530,SLC25A42
1531,LOC100507373
1532,DNAL4
1533,BAHCC1
1534,CLUAP1
1535,WHAMMP2
1536,CACNA2D2
1537,SPPL3
1538,ZBTB47
1539,RWDD2A
1540,CHD2
1541,ACVR2B
1542,FAM172A
1543,ABHD14B
1544,CTBS
1545,ZNF192
1546,TMEM221
1547,MOAP1
1548,TSPAN32
1549,ZNF415
1550,EZH1
1551,B9D1
1552,LOC148696
1553,TIMP4
1554,TTC14
1555,GRIK4
1556,LOC645212
1557,ZNF251
1558,CDKL3
1559,FUK
1560,NICN1
1561,ZEB2
1562,PLXNB2
1563,KLHL5
1564,ZNF767
1565,WDR60
1566,RP9P
1567,BBX
1568,EAPP
1569,PRUNE2
1570,GRIP2
1571,TBC1D16
1572,PALLD
1573,PIGV
1574,LOC100506124
1575,SLC9A5
1576,ZNF155
1577,ABCC9
1578,ICA1L
1579,HLA-F
1580,CASP9
1581,FAM69A
1582,KLF3
1583,C14orf79
1584,LOC100287482
1585,SPG20
1586,PEAK1
1587,PTPRM
1588,FKBP10
1589,DHX40
1590,INHA
1591,KIAA0430
1592,CCDC159
1593,LOC100130950
1594,ACOX1
1595,FN1
1596,ATP6AP2
1597,FAM174B
1598,KIAA1598
1599,PPP2R5A
1600,TANC1
1601,TTC17
1602,INPP5B
1603,COA5
1604,VAMP1
1605,ARMC12
1606,STK36
1607,MAPK15
1608,DKFZp566F0947
1609,TMEM27
1610,IRAK4
1611,PYCARD
1612,C17orf28
1613,MAPK8IP3
1614,IFI44
1615,SLC22A18AS
1616,FAM149B1
1617,CLYBL
1618,PYGM
1619,PXDNL
1620,SPATA17
1621,OBSL1
1622,SPG11
1623,RXRA
1624,MVP
1625,INADL
1626,KANK2
1627,TBX6
1628,PRRG1
1629,SGCE
1630,C14orf101
1631,ANGEL1
1632,SYF2
1633,NPTXR
1634,MYOM1
1635,ZNF14
1636,IFI27
1637,KCTD18
1638,ARMCX1
1639,AK3
1640,FNBP1L
1641,ZMYND12
1642,LAMP1
1643,ZNF18
1644,AVPI1
1645,DISP1
1646,FAM86FP
1647,PARD6A
1648,6-Sep
1649,HESX1
1650,MYH10
1651,RUFY3
1652,B3GNT8
1653,ADAM17
1654,PRRT3
1655,EXOC4
1656,SYT11
1657,FBXL17
1658,GPR108
